date,long_gross,short_gross,stock_gross,hedge_gross,gross_exposure,net_exposure,turnover,net_SPY_exposure,net_XLK_exposure,net_QQQ_exposure
2023-06-21,0.15295278504121904,0.22364350151602122,0.15000000000000002,0.22659628655724023,0.37659628655724026,-0.07069071647480218,0.06904168489328433,0.005423622797991221,-0.15295278504121904,0.06821987871802998
2023-06-22,0.15260101136160048,0.22308667013924477,0.15000000000000002,0.22568768150084523,0.37568768150084525,-0.0704856587776443,0.004267420897094858,0.007103030718341157,-0.15260101136160048,0.06598363942090361
2023-06-23,0.20335805767466084,0.24088047515394984,0.2,0.24423853282861063,0.44423853282861064,-0.037522417479288965,0.19809487305162948,-0.05842602645665126,-0.09493203121800958,0.0908804751539498
2023-06-26,0.1489588424194475,0.16930119736846325,0.15000000000000002,0.16826003978791074,0.31826003978791073,-0.020342354949015748,0.1259784930406999,-0.03812278572683848,-0.06083605669260902,0.06930119736846324
2023-06-27,0.20283998721099372,0.23867777105088236,0.2,0.24151775826187608,0.4415177582618761,-0.03583778383988863,0.12325771847396533,-0.058866558385163636,-0.09397342882583008,0.08867777105088234
2023-06-28,0.20972386463367088,0.2382287050904861,0.2,0.24795256972415697,0.447952569724157,-0.028504840456815186,0.25556733643198815,-0.13986763233229815,-0.019856232301372748,0.08822870509048608
2023-06-29,0.21071285382601532,0.23908595341534356,0.2,0.24979880724135883,0.44979880724135884,-0.02837309958932819,0.0018462375172018722,-0.14021255559826562,-0.020500298227749715,0.08908595341534352
2023-06-30,0.21535509928397542,0.2422935554342619,0.2,0.25764865471823734,0.45764865471823735,-0.026938456150286477,0.008635498106476392,-0.14524762637102467,-0.020107472912950747,0.09229355543426189
2023-07-03,0.21263065311759954,0.24094119834235098,0.2,0.25357185145995054,0.45357185145995055,-0.028310545224751404,0.004076803258286802,-0.14317893920382596,-0.019451713913773594,0.09094119834235095
2023-07-05,0.21090563247012048,0.23925027133750026,0.2,0.25015590380762076,0.45015590380762077,-0.02834463886737977,0.0040544570025863765,-0.1411346638812186,-0.019770968588901903,0.08925027133750026
2023-07-06,0.15935651879561002,0.21894150879226854,0.15000000000000002,0.22829802758787854,0.37829802758787856,-0.059584989996658524,0.1915710469156735,-0.07972896485874247,-0.07962755393686755,0.06894150879226851
2023-07-07,0.1564997401520835,0.2149749993611605,0.15000000000000002,0.22147473951324398,0.371474739513244,-0.058475259209076993,0.0070916401752733615,-0.07986314090906188,-0.07663659924302163,0.06497499936116048
2023-07-10,0.15614197703876284,0.21497211582528036,0.15000000000000002,0.2211140928640432,0.37111409286404323,-0.058830138786517536,0.0003606466492007965,-0.07979511200610193,-0.07634686503266092,0.06497211582528035
2023-07-11,0.17052936956343134,0.2296833667216295,0.15000000000000002,0.2502127362850608,0.4002127362850608,-0.05915399715819818,0.029098643421017617,-0.0862953093271092,-0.08423406023632213,0.07968336672162948
2023-07-12,0.1700918534132709,0.2282396937081824,0.15000000000000002,0.24833154712145328,0.3983315471214533,-0.05814784029491149,0.002624507399633394,-0.08666696844512213,-0.08342488496814877,0.07823969370818237
2023-07-13,0.1378590083234722,0.16622587321957943,0.1,0.20408488154305165,0.3040848815430517,-0.028366864896107236,0.09424666557840163,-0.06622254150809818,-0.07163646681537403,0.06622587321957944
2023-07-14,0.065502328009135,0.07988623372880728,0.05,0.09538856173794227,0.1453885617379423,-0.014383905719672286,0.1586963198051094,-0.036176385218957316,-0.029325942790177674,0.029886233728807273
2023-07-17,0.06595220344635555,0.08025677469630563,0.05,0.09620897814266116,0.14620897814266115,-0.01430457124995007,0.0008204164047189051,-0.03622818366623748,-0.02972401978011807,0.030256774696305618
2023-07-18,0.06557799666472579,0.07993832879974103,0.05,0.09551632546446681,0.1455163254644668,-0.014360332135015242,0.0006926526781943533,-0.03608170676108486,-0.029496289903640928,0.029938328799741027
2023-07-19,0.06324808815938922,0.07786333775046558,0.05,0.0911114259098548,0.14111142590985482,-0.014615249591076358,0.004404899554612023,-0.03507101309366127,-0.028177075065727947,0.027863337750465574
2023-07-20,0.06413289699722946,0.07878324451156969,0.05,0.09291614150879915,0.14291614150879917,-0.014650347514340231,0.0019087485784225061,-0.035018996603922194,-0.029113900393307263,0.028783244511569685
2023-07-21,0.05948697504021765,0.07396410296201152,0.05,0.08345107800222917,0.13345107800222916,-0.014477127921793866,0.009465063506569973,-0.032247875611902975,-0.027239099428314678,0.023964102962011517
2023-07-24,0.06086832860441193,0.07683460671426105,0.05,0.08770293531867297,0.13770293531867298,-0.01596627810984912,0.004388131348334233,-0.03217973859595776,-0.028688590008454168,0.026834606714261047
2023-07-25,0.060856688178326304,0.08152295549663197,0.05,0.09237964367495827,0.14237964367495826,-0.020666267318305665,0.027598806119257607,-0.02071868971447161,-0.0401379984638547,0.03152295549663197
2023-07-26,0.05968214636664748,0.07819638465896223,0.05,0.0878785310256097,0.1378785310256097,-0.01851423829231474,0.008592655002588427,-0.022764460891091538,-0.03691768547555595,0.028196384658962223
2023-07-27,0.0,-0.0,0.0,0.0,0.0,0.0,0.1378785310256097,0.0,0.0,0.0
2023-07-28,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31,0.023146112889887216,0.05,0.05,0.023146112889887216,0.07314611288988722,-0.026853887110112787,0.07314611288988723,-0.007411199432674611,-0.009692914841577313,-0.0060419986156352926
2023-08-01,0.02616062975030812,0.05,0.05,0.02616062975030812,0.07616062975030813,-0.02383937024969188,0.005226903741881515,-0.010108286361861129,-0.008586721400847007,-0.007465621987599983
2023-08-02,0.028897897531243524,0.05,0.05,0.028897897531243524,0.07889789753124353,-0.02110210246875648,0.007628412606295891,-0.014890564582930331,-0.008987283373393452,-0.005020049574919739
