fold_id,stock,factor_set,factors,candidate,family,selection_score,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,selected
4.0,QCOM,SPY_XLK,"SPY,XLK",mr_p035_s150,mean_reversion,2.4299268011417463,13.0,0.35,1.5,0.007237200819022682,5.870160336875385e-05,0.00038327002531544886,2.4313382286545413,-0.002016656406169881,0.056910569105691054,0.005645710051180373,0.016140108063146766,0.10569105691056911,0.6944223362951859,True
4.0,TXN,QQQ_XLK,"QQQ,XLK",mr_p035_s150,mean_reversion,3.692019599521798,24.0,0.35,1.5,0.006691400975545436,5.4248836242704e-05,0.00023313137583007228,3.6939411291634867,-0.00042916839159645725,0.13821138211382114,0.007686118566753553,0.022862081844318344,0.1951219512195122,0.945392583710687,True
,AAPL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
5.0,MSFT,XLK,XLK,mr_p040_s125,mean_reversion,3.0481128722777577,43.0,0.4,1.25,0.009137466664496552,7.587986701683506e-05,0.0003948983471445025,3.0502927008160254,-0.0015372040856447278,0.23333333333333334,0.008719314153070689,0.03668385125396556,0.35833333333333334,1.0463176983684825,True
5.0,NVDA,QQQ_XLK,"QQQ,XLK",mr_p035_s175,mean_reversion,0.9192806865643542,19.0,0.35,1.75,0.0021729705367405927,1.8137010202480238e-05,0.0003125129509429952,0.9212933744449581,-0.0019720260094437947,0.06666666666666667,0.008050751522415321,0.02215299727851306,0.15833333333333333,0.9660901826898385,False
5.0,AVGO,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p030_s150,mean_reversion,2.5074960359574274,17.0,0.3,1.5,0.003345931286286241,2.785198117113821e-05,0.0001761459936517739,2.5100570556817696,-0.0006494283779927557,0.1,0.01024407889736817,0.018735003960713474,0.14166666666666666,1.2292894676841803,True
,AMD,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
5.0,ADBE,QQQ_XLK,"QQQ,XLK",mr_p030_s125,mean_reversion,1.7955027166816753,25.0,0.3,1.25,0.003974537602237538,3.309836067309972e-05,0.00029218036658267444,1.7982734193092416,-0.00161924007521963,0.11666666666666667,0.011082810510265476,0.038988384699018795,0.20833333333333334,1.3299372612318572,True
5.0,CRM,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s200,mean_reversion,1.9077182952650167,15.0,0.4,2.0,0.005665793519806339,4.715892970102007e-05,0.00039209762842428537,1.9092816335506626,-0.0013914819361552366,0.075,0.006253353142583518,0.01606703305740727,0.125,0.7504023771100221,True
5.0,CSCO,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p035_s200,mean_reversion,2.6146847616747215,13.0,0.35,2.0,0.002150375385097547,1.7906564147424218e-05,0.00010862369664221725,2.6169049867133722,-0.0003610749217274334,0.075,0.008880900154602349,0.01868030404693537,0.10833333333333334,1.0657080185522818,True
,INTC,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
5.0,ORCL,SPY_XLK,"SPY,XLK",mr_p030_s200,mean_reversion,3.0990561910077887,17.0,0.3,2.0,0.007287040738390482,6.05545860583767e-05,0.00031004003247567843,3.1004842989266264,-0.0008523359523752161,0.11666666666666667,0.005712431675349726,0.01374543224240396,0.14166666666666666,0.6854918010419672,True
