date,long_gross,short_gross,stock_gross,hedge_gross,gross_exposure,net_exposure,turnover,net_XLE_exposure,net_XLF_exposure,net_XLI_exposure,net_XLK_exposure,net_XLV_exposure,portfolio_vol_scale
2024-11-15,0.5537944119017325,0.5604931774717508,0.5499999999999999,0.5642875893734833,1.1142875893734834,-0.0066987655700182225,0.007425166754489176,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-18,0.5540653633048798,0.5639230051345872,0.5499999999999999,0.5679883684394671,1.117988368439467,-0.009857641829707331,0.0038956385999966703,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.0
2024-11-19,0.41585818570113187,0.48633294399975974,0.44999999999999996,0.4521911297008916,0.9021911297008915,-0.07047475829862787,0.21579723873857543,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-20,0.3657485468811607,0.43594029566433423,0.39999999999999997,0.401688842545495,0.8016888425454949,-0.07019174878317348,0.10067591713023626,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-21,0.36617941575897794,0.43884056000743726,0.39999999999999997,0.4050199757664152,0.8050199757664152,-0.07266114424845928,0.003461062679023297,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-22,0.3655608555779857,0.4418557255353882,0.39999999999999997,0.4074165811133739,0.8074165811133739,-0.07629486995740255,0.005372709144457921,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,1.0
2024-11-25,0.25,0.33636678535477693,0.3,0.28636678535477694,0.5863667853547769,-0.08636678535477693,0.22249879236213177,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-26,0.3,0.388236162289064,0.35,0.338236162289064,0.688236162289064,-0.088236162289064,0.109514159366301,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-27,0.35,0.4527448102824011,0.39999999999999997,0.40274481028240106,0.8027448102824011,-0.10274481028240107,0.392651274968361,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-29,0.37546639893757966,0.5025128034087906,0.44999999999999996,0.4279792023463702,0.8779792023463702,-0.12704640447121082,0.0763344500110904,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-02,0.3757945806933732,0.5012826220829274,0.44999999999999996,0.42707720277630057,0.8770772027763005,-0.12548804138955422,0.008727272735433587,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-03,0.3269819855165907,0.41668226006947223,0.35,0.39366424558606294,0.7436642455860629,-0.08970027455288153,0.20954023181822237,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-04,0.3277320503752214,0.3639936474413712,0.35,0.3417256978165927,0.6917256978165927,-0.03626159706614977,0.19665594872622671,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-05,0.17780074922631883,0.22233238910937314,0.2,0.20013313833569196,0.400133138335692,-0.04453163988305433,0.29172995718309547,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-06,0.1791983291418396,0.2227335764309365,0.2,0.20193190557277607,0.4019319055727761,-0.043535247289096884,0.0026399269364393747,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-09,0.1293490152797715,0.1448996179357257,0.15000000000000002,0.12424863321549717,0.2742486332154972,-0.015550602655954194,0.12903463855001376,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-10,0.14419814205910347,0.11919271298889852,0.15000000000000002,0.113390855048002,0.263390855048002,0.025005429070204952,0.24225049024758555,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-11,0.18160618770716713,0.16816488548698247,0.2,0.14977107319414956,0.3497710731941496,0.013441302220184664,0.08843587314997972,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-12,0.18067325955130298,0.16783642075889404,0.2,0.14850968031019698,0.348509680310197,0.01283683879240892,0.0012613928839525987,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-13,0.23226885186259286,0.23047742084812775,0.3,0.1627462727107206,0.46274627271072055,0.001791431014465092,0.2441201535899028,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-16,0.2296278652044294,0.21665852923034,0.3,0.14628639443476937,0.44628639443476936,0.012969335974089363,0.24768889454396847,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-17,0.2188542179532783,0.20188870055573843,0.25,0.17074291850901668,0.4207429185090167,0.016965517397539882,0.31067702472820546,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-18,0.21914011559611574,0.2034660803727212,0.25,0.17260619596883692,0.4226061959688369,0.01567403522339455,0.0020150173407158817,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-19,0.2952467474828139,0.24681471322627596,0.3,0.2420614607090898,0.5420614607090898,0.04843203425653789,0.14356996260302263,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-20,0.29464495879251495,0.24753549488078513,0.3,0.24218045367330004,0.5421804536733,0.04710946391172979,0.001581679367938571,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-23,0.2920436782340057,0.2511556066370488,0.3,0.24319928487105447,0.5431992848710545,0.040888071596956926,0.006221392314772877,0.0,0.0,0.0,0.0,0.0,1.0
2024-12-24,0.2921617130287456,0.2429739576722832,0.25,0.2851356707010288,0.5351356707010289,0.04918775535646247,0.09308764895330864,0.0,0.0,0.0,0.0,0.0,1.0
