variant,fold_id,test_start,test_end,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,trend_cells,mean_reversion_cells,flat_cells
strict_inverse_trend_only,10,2024-05-08,2024-08-02,-0.0004066800712057006,-6.778962896498885e-06,2.8303960356612136e-05,-3.802036834088529,-0.0004066800712057006,0.0,0.005641466058950112,0.004225897621327977,0.05,0.3384879635370067,0,0,717
strict_mean_reversion_only,10,2024-05-08,2024-08-02,0.0039618475348355275,6.600695796637633e-05,0.0004614088773482306,2.2709315423134897,-0.0004874042453406613,0.1,0.010637681440493034,0.013896573108470119,0.13333333333333333,0.638260886429582,0,8,712
strict_mr_plus_strict_inverse_trend,10,2024-05-08,2024-08-02,0.003553556259192181,5.922799506987745e-05,0.0004632594864627395,2.029565073402452,-0.0004874042453407723,0.1,0.016279147499443147,0.0181224707297981,0.18333333333333332,0.9767488499665888,0,8,709
high_confidence_hybrid,10,2024-05-08,2024-08-02,0.0060620489181271164,0.0001010743353126419,0.0008319712110888798,1.9285587164854627,-0.005271720836371285,0.25,0.026706507721808905,0.05177523837687673,0.4166666666666667,1.6023904633085344,11,20,689
baseline_hybrid,11,2024-08-05,2024-10-30,-0.0020992032973106145,-3.2789316475257175e-05,0.0014982038548862298,-0.3474255259872278,-0.011217274900310548,0.46774193548387094,0.04869159877618131,0.1986340098422871,1.0,3.018879124123241,12,172,560
inverse_trend_only,11,2024-08-05,2024-10-30,0.0011775298101164289,1.912810709968682e-05,0.0005459915402170726,0.5561428415216076,-0.005689330135014936,0.11290322580645161,0.012758776525252261,0.025143517019123502,0.1935483870967742,0.7910441445656402,0,0,732
pure_inverse_trend_only,11,2024-08-05,2024-10-30,0.0011775298101164289,1.912810709968682e-05,0.0005459915402170726,0.5561428415216076,-0.005689330135014936,0.11290322580645161,0.012758776525252261,0.025143517019123502,0.1935483870967742,0.7910441445656402,0,0,732
strict_inverse_trend_only,11,2024-08-05,2024-10-30,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,744
strict_mean_reversion_only,11,2024-08-05,2024-10-30,-0.009682970469579333,-0.00015666801708199977,0.0007234153534462318,-3.4378972712311846,-0.010495668528579194,0.24193548387096775,0.01697741839540109,0.04978668034018956,0.5645161290322581,1.0525999405148676,0,38,706
strict_mr_plus_strict_inverse_trend,11,2024-08-05,2024-10-30,-0.009682970469579333,-0.00015666801708199977,0.0007234153534462318,-3.4378972712311846,-0.010495668528579194,0.24193548387096775,0.01697741839540109,0.04978668034018956,0.5645161290322581,1.0525999405148676,0,38,706
high_confidence_hybrid,11,2024-08-05,2024-10-30,-0.0059157998853752725,-9.513276931542947e-05,0.0010691934459040727,-1.4124533784174633,-0.010788938391262937,0.2903225806451613,0.03145462952935523,0.08284155986807026,0.7096774193548387,1.9501870308200242,1,69,674
baseline_hybrid,12,2024-10-31,2025-01-27,-0.00357808762507672,-6.057846891742277e-05,0.0015761833204791004,-0.6101151870272518,-0.010463912579651291,0.5344827586206896,0.05458456573476331,0.21684318813748554,1.0,3.165904812616272,17,138,541
inverse_trend_only,12,2024-10-31,2025-01-27,0.007806299876934819,0.00013421957880827815,0.0005376339624648691,3.963049041483237,-0.0006483297527701826,0.13793103448275862,0.02152662410659353,0.027161610193498956,0.20689655172413793,1.2485441981824248,0,0,679
pure_inverse_trend_only,12,2024-10-31,2025-01-27,0.007806299876934819,0.00013421957880827815,0.0005376339624648691,3.963049041483237,-0.0006483297527701826,0.13793103448275862,0.02152662410659353,0.027161610193498956,0.20689655172413793,1.2485441981824248,0,0,679
strict_inverse_trend_only,12,2024-10-31,2025-01-27,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,696
strict_mean_reversion_only,12,2024-10-31,2025-01-27,-2.7506503310625874e-05,-4.790271085143763e-08,0.0009315758775069541,-0.0008162855850963768,-0.006062741892378876,0.39655172413793105,0.026934421553817926,0.11818811612445287,0.8620689655172413,1.5621964501214396,0,66,630
strict_mr_plus_strict_inverse_trend,12,2024-10-31,2025-01-27,-2.7506503310625874e-05,-4.790271085143763e-08,0.0009315758775069541,-0.0008162855850963768,-0.006062741892378876,0.39655172413793105,0.026934421553817926,0.11818811612445287,0.8620689655172413,1.5621964501214396,0,66,630
high_confidence_hybrid,12,2024-10-31,2025-01-27,0.013626587347438823,0.0002341420686257884,0.001243929146587653,2.988023972626178,-0.006062741892378876,0.4827586206896552,0.025723995631475757,0.14678433355231435,0.896551724137931,1.4919917466255939,2,72,622
